Geneid,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1,LNCAP_Hypoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S1
ENSG00000000003,333,971,367,691,352,1059,380,604
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,693,1761,2160,2302,747,1975,2454,4585
ENSG00000000457,26,84,433,607,29,88,518,760
ENSG00000000460,155,438,379,350,189,390,349,399
ENSG00000000938,0,1,2,2,0,0,1,2
ENSG00000000971,1,2,1,0,0,3,0,0
ENSG00000001036,280,732,334,229,287,821,452,219
ENSG00000001084,251,903,915,1749,310,804,941,1430
ENSG00000001167,727,1855,4616,6361,685,2311,5061,6078
ENSG00000001460,119,391,432,289,130,320,512,282
ENSG00000001461,258,865,2190,1985,324,801,2735,1665
ENSG00000001497,151,609,2829,2456,230,426,3617,2310
ENSG00000001561,560,1525,1242,1544,513,1704,1344,1350
ENSG00000001617,93,403,757,1195,159,270,986,1232
ENSG00000001626,1,4,10,2,1,7,15,6
ENSG00000001629,412,1257,2490,2852,462,1296,2741,2466
ENSG00000001630,29,101,172,166,41,101,191,125
ENSG00000001631,90,292,729,776,96,254,746,652
ENSG00000002016,43,188,613,617,70,159,719,468
ENSG00000002330,71,198,218,320,107,173,524,655
ENSG00000002549,244,962,3845,2519,333,756,5070,2171
ENSG00000002586,1455,3056,7193,10240,1173,3949,9439,8472
ENSG00000002587,17,42,244,92,16,57,422,75
ENSG00000002726,0,0,7,10,0,1,7,4
ENSG00000002745,0,4,2,1,0,3,0,0
ENSG00000002746,8,44,1,5,9,17,2,0
ENSG00000002822,2,4,2,5,3,1,5,1
ENSG00000002834,2253,6776,4146,4530,2575,6525,4826,4506
ENSG00000002919,141,430,356,345,163,419,557,336
ENSG00000002933,1,0,1,1,0,0,1,0
ENSG00000003056,980,2935,2274,2419,1252,2620,2699,2492
ENSG00000003096,85,279,121,92,119,276,211,69
ENSG00000003137,182,470,32,86,188,615,35,52
ENSG00000003147,18,60,2701,2769,14,30,3406,2681
ENSG00000003249,142,427,1503,2298,180,527,2319,2041
ENSG00000003393,259,980,1837,2273,302,794,1966,2103
ENSG00000003400,3,5,69,53,4,1,76,46
ENSG00000003402,249,795,2599,2958,289,755,2697,2754
ENSG00000003436,951,1836,4863,10228,612,2921,5115,9249
ENSG00000003509,163,537,898,939,206,369,1097,861
ENSG00000003756,207,749,2889,3756,240,710,3699,4830
ENSG00000003987,8,38,27,63,9,30,23,0
ENSG00000003989,32,318,583,923,108,145,633,779
ENSG00000004059,311,1012,2369,3270,377,736,4002,2920
ENSG00000004139,12,98,520,426,37,33,650,996
ENSG00000004142,450,1584,5408,4811,666,1220,7501,4241
ENSG00000004399,67,223,85,255,68,156,90,258
ENSG00000004455,1221,3143,8524,8945,1128,3561,9315,7504
ENSG00000004468,1,4,9,3,0,2,7,1
ENSG00000004478,1021,3397,12036,9940,1390,3125,13881,9782
ENSG00000004487,622,2000,3773,5697,735,1833,4168,4628
ENSG00000004534,173,565,4896,8459,222,552,5835,7756
ENSG00000004660,64,234,632,673,114,101,721,467
ENSG00000004700,826,1855,1608,1573,656,2369,1624,2068
ENSG00000004766,303,1060,1143,879,371,963,1082,699
ENSG00000004776,0,5,21,32,0,6,29,191
