"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104419",45304.9130154421,4.52610733801248,0.0974802292096506,46.4310288835922,0,0
"ENSG00000146674",8336.20780295847,4.79219754734543,0.149612772273122,32.0306714095047,4.08055433030872e-225,3.11978781323753e-221
"ENSG00000165507",1914.28869610976,4.32343190541477,0.139342949701862,31.0272741797498,2.31148241357109e-211,1.17816258619719e-207
"ENSG00000289901",2826.1375922416,3.81234970889688,0.129830888642444,29.3639652994761,1.58508414345024e-189,6.0593804093744e-186
"ENSG00000159167",3693.20077381381,3.12911757552643,0.113485929056756,27.5727361227444,2.36290552864288e-167,7.22623768769566e-164
"ENSG00000176171",9956.10673165705,2.86420157364487,0.105704419414667,27.096327566106,1.08781296930453e-161,2.77229135227261e-158
"ENSG00000181458",1876.76658718033,2.98595103914631,0.128664613180022,23.2072437428347,3.84756690964507e-119,8.40473508791182e-116
"ENSG00000114023",8962.37753638546,2.36906950944688,0.104000934047572,22.7793099277668,7.35399216397721e-115,1.40562367724219e-111
"ENSG00000114268",2443.44839033175,2.85715667594875,0.12608549959015,22.66046996075,1.10000497174133e-113,1.86890844698852e-110
"ENSG00000134107",4966.24771838229,2.87081894353656,0.128785009075141,22.2915614492177,4.4615773157799e-110,6.82219787355904e-107
"ENSG00000148926",745.655372657319,4.94470668275226,0.226904075342446,21.7920576141687,2.759682249445e-105,3.83620920693305e-102
"ENSG00000135245",1167.36633318812,3.51685340476694,0.167604358873905,20.9830664810621,9.36551242128264e-98,1.19340042028194e-94
"ENSG00000132470",1811.80371923479,3.14755658560462,0.150156012208866,20.9619084797377,1.4610994285745e-97,1.71859010479482e-94
"ENSG00000104765",10767.4089185831,2.5554514491024,0.123852690698297,20.6329909725371,1.38794263353016e-94,1.51593077209355e-91
"ENSG00000177181",1424.20038007816,2.89135279295262,0.145464831099083,19.876644898334,6.48265337431049e-88,6.60841684977211e-85
"ENSG00000116285",2746.78699204441,2.71982525424432,0.138160607342027,19.6859677050434,2.84452007184981e-86,2.71847227616597e-83
"ENSG00000134333",59620.8349734117,1.704073422051,0.0892475053395547,19.0937933286495,2.84351692503558e-81,2.55765984121877e-78
"ENSG00000152952",6219.3502201908,2.19999715544813,0.115434381714871,19.0584219602982,5.59366015123039e-81,4.75181429847022e-78
"ENSG00000163516",2715.3135480772,2.26303442578416,0.118855743282839,19.0401773046748,7.92588753094414e-81,6.37867085450878e-78
"ENSG00000265735",515.963792281799,4.7573942399704,0.252772636895132,18.8208434995442,5.09667112148837e-79,3.89665990593394e-76
"ENSG00000184368",891.503299625665,3.05114799306654,0.163212947770821,18.6942766167724,5.51128679588617e-78,4.01300411409025e-75
"ENSG00000130640",3270.3366558443,2.06918056090525,0.111981483187122,18.4778813605069,3.11162100995133e-76,2.16271803923481e-73
"ENSG00000163814",8745.92227611654,1.66550746861223,0.0906487112180116,18.3732062622121,2.15308638357635e-75,1.43142799527244e-72
"ENSG00000144476",937.625763501816,4.54814993529966,0.248897828496287,18.2731603677591,1.35378523146564e-74,8.62530415597547e-72
"ENSG00000183691",2258.60937540581,2.86427786085323,0.161090812846043,17.7805165313224,1.00053950442045e-70,6.11969982483727e-68
"ENSG00000117298",2104.24453202814,2.05327994572638,0.116213832283251,17.6681200971143,7.38160564236794e-70,4.34123584144031e-67
"ENSG00000170525",2067.70727844345,2.47363851414046,0.142326313763903,17.3800504539437,1.16850644792351e-67,6.61764151674013e-65
"ENSG00000113083",614.873210618871,3.64590374957883,0.211662557962658,17.2250764833998,1.72199958481342e-66,9.40396273263641e-64
"ENSG00000162723",366.55803501377,5.30205983163703,0.312202075546353,16.9827821367248,1.10138927147103e-64,5.80735977588395e-62
"ENSG00000125629",1702.22350480309,2.87003593804503,0.169214818354785,16.9609019230665,1.5987151793694e-64,8.14865126924585e-62
"ENSG00000124731",430.111943446885,4.27864093147976,0.253178287583617,16.8997151071521,4.52085538380774e-64,2.22994837657433e-61
"ENSG00000119950",2618.71586119749,2.30336643320055,0.136940859625037,16.8201546237368,1.73704775476821e-63,8.30037413067522e-61
"ENSG00000102144",13917.1333303368,2.03655182759645,0.121506860284552,16.7607970679773,4.72250384902726e-63,2.18823655622654e-60
"ENSG00000259207",8189.59127050666,1.91943067586872,0.114577941709244,16.752183249543,5.45857059555334e-63,2.45491185225312e-60
"ENSG00000113369",2083.65044126552,2.09260820843944,0.126411914449347,16.553884319804,1.50098114910648e-61,6.55757221456776e-59
"ENSG00000122884",10193.674591877,1.81177030410628,0.109792051633154,16.5018348519428,3.55911473048003e-61,1.51173398177139e-58
