"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000000003",336.750576667801,339.296816190313,199.978837785041,167.052280259864,1324.85434750566,1152.10538138988,1024.26328821638,1071.61326461678
"ENSG00000000005",0,0,0,0,0,0,0,0
"ENSG00000000419",2556.2936987117,1130.33469011592,1176.98716516536,1078.80604146765,2470.80957159932,2397.62471262219,2173.64964857283,1943.47163644711
"ENSG00000000457",423.725891171405,298.050893527525,235.942334498427,227.718634670025,110.09176825354,89.9541739223334,84.3853277223723,92.703928143985
"ENSG00000000460",222.456092864988,171.858011094949,206.517655369293,153.42433108077,487.90670021455,536.26526761391,549.959549638909,483.38476817935
"ENSG00000000938",1.11506813466159,0.98204577768542,1.08980293070867,0.439611263841748,0,0,0,1.1036181921903
"ENSG00000000971",0,0,0.544901465354334,0,3.75312846318885,3.45977592008974,0,2.20723638438059
"ENSG00000001036",122.099960745444,112.444241544981,181.997089428348,198.70429125647,1027.10615609268,968.737257625128,835.123760562788,807.848516683297
"ENSG00000001084",797.273716283039,858.7990325859,498.584840799216,413.674199275085,1005.83842813461,868.403755942526,902.05005496329,996.567227547838
"ENSG00000001167",3388.69206123658,3123.39659592848,2515.26516407561,2224.87260630309,2891.15995947648,2515.25709390524,1993.23963758017,2047.211746513
"ENSG00000001460",157.224606987285,141.905614875543,235.397433033072,225.080967086975,400.333702740144,411.71333449068,378.279055307186,431.514713146406
"ENSG00000001461",928.294222105776,974.680434352779,1193.33420912599,1202.33680660718,1002.08529967142,892.622187383154,942.787799380987,954.629736244607
"ENSG00000001497",1287.90369553414,1205.9522149977,1541.52624548741,1590.0739413156,532.944241772816,522.426163933551,669.262944005022,672.103479043891
"ENSG00000001561",752.670990896575,758.139340373144,676.767619970083,590.837538603309,2131.77696709127,1937.47451525026,1492.7473490199,1683.0177430902
"ENSG00000001617",686.881970951541,586.772352167039,412.490409273231,433.456706147963,337.781561686996,321.759160568346,462.664383029559,444.75813145269
"ENSG00000001626",3.34520440398478,0.98204577768542,5.44901465354334,6.59416895762622,8.75729974744064,3.45977592008974,2.90983888697836,4.41447276876119
"ENSG00000001629",1374.87901003774,1400.39727897941,1356.80464873229,1204.97447419023,1621.35149609758,1425.42767907697,1344.345565784,1387.2480675832
"ENSG00000001630",69.6917584163496,81.5097995478899,93.7230520409455,83.9657513937738,126.355324927358,100.333501682603,119.303394366113,111.46543741122
"ENSG00000001631",363.512211899679,381.033761741943,397.23316824331,327.950002825944,317.764876549989,311.379832808077,279.344533149922,322.256512119567
"ENSG00000002016",260.925943510813,302.961122415952,334.024598262207,316.080498702217,198.915808549009,148.770364563859,203.688722088485,207.480220131776
"ENSG00000002330",365.184814101672,157.127324429667,118.788519447245,230.356302253076,216.43040804389,245.644090326372,311.352760906684,218.516402053679
"ENSG00000002549",1210.40646017516,1236.88665699479,2095.14613428741,2228.82910767766,945.78837272359,844.185324501898,968.976349363793,1061.68070088707
"ENSG00000002586",4723.42861842651,5028.07438174935,3919.47624029373,4149.49071940226,4940.36810037759,5033.97396373058,3413.24101442561,3372.65719533355
"ENSG00000002587",41.8150550498097,45.1741057735293,132.955957546458,185.515953341218,71.3094408005881,58.8161906415257,46.5574221916537,46.3519640719925
"ENSG00000002726",2.23013626932319,4.9102288884271,3.81431025748034,3.07727884689223,1.25104282106295,0,0,0
"ENSG00000002745",0,0.49102288884271,1.08980293070867,0,3.75312846318885,0,0,4.41447276876119
"ENSG00000002746",0,2.45511444421355,0.544901465354334,0.879222527683496,21.2677279580701,27.678207360718,26.1885499828052,48.5592004563731
"ENSG00000002822",0.557534067330796,2.45511444421355,1.08980293070867,2.19805631920874,1.25104282106295,6.91955184017949,8.72951666093507,4.41447276876119
"ENSG00000002834",2512.24850739257,2224.33368645748,2259.16147535907,2121.56395930028,8163.05440743574,7794.87514796219,7492.83513396927,7478.11687028145
"ENSG00000002919",187.331446623148,169.402896650735,193.984921666143,244.863473959854,524.186942025376,487.828404732654,474.303738577472,474.555822641828
"ENSG00000002933",0,0.49102288884271,0.544901465354334,0.439611263841748,0,3.45977592008974,0,0
"ENSG00000003056",1389.37489578834,1187.78436811052,1239.10593221576,1186.51080110888,3277.73219118493,3390.58040168795,3643.1182864969,3239.11939407852
"ENSG00000003096",38.469850645825,45.1741057735293,65.9330773078744,92.7579766706088,345.287818613374,294.080953207628,346.270827550424,307.909475621093
"ENSG00000003137",28.9917715012014,42.2279684404731,17.4368468913387,15.3863942344612,769.391334953714,629.679217456334,547.049710751931,518.70055032944
"ENSG00000003147",1494.74883451387,1359.64237920546,1471.77885792206,1497.31596464499,37.5312846318885,62.2759665616154,40.737744417697,66.2170915314178
"ENSG00000003249",1137.92703142216,1128.37059856055,818.986902427564,1019.45852084901,659.299566700174,491.288180652744,523.770999656104,471.244968065257
"ENSG00000003393",1172.49414359666,1116.09502633948,1000.98399185591,864.275744712876,993.327999923982,896.081963303244,878.771343867464,1081.54582834649
"ENSG00000003400",25.6465670972166,26.0242131086636,37.5982011094491,33.4104560519728,1.25104282106295,10.3793277602692,11.6393555479134,5.51809096095149
"ENSG00000003402",1535.44882142901,1452.44570519674,1416.19890845591,1185.63157858119,944.537329902527,861.484204102346,840.943438336745,877.376462791286
"ENSG00000003436",5156.63258874254,5022.18210708324,2649.85582601813,2248.61161455054,3654.29608032487,3290.24690000535,1780.82139883075,2026.24300086139
"ENSG00000003509",480.036831971816,461.070492623305,489.321515888192,482.253556434397,461.634800972228,563.943474974628,599.426810717541,592.642969206189
"ENSG00000003756",2692.88954520775,1844.28197049322,1574.22033340867,1626.12206495063,888.240402954694,716.173615458577,698.361332874805,826.610025950533
"ENSG00000003987",0,30.9344419970907,14.712339564567,10.1110590683602,37.5312846318885,27.678207360718,26.1885499828052,41.9374913032313
"ENSG00000003989",434.31903845069,453.214126401821,317.677554301577,278.273930011826,181.401209054128,110.712829442872,314.262599793662,350.950585116514
"ENSG00000004059",1627.99947660593,1605.64484651566,1290.87157142442,1759.32427789467,920.767516302331,1075.99031114791,1097.00926039084,1116.86161049658
"ENSG00000004139",555.303931061473,209.175750646994,283.348761984254,285.747321497136,41.2844130950773,41.5173110410769,107.664038818199,108.154582834649
"ENSG00000004142",2364.50197954991,2362.31111822228,2946.82712463624,3297.52409007695,1526.2722416968,1556.89916404038,1937.95269872759,1748.13121642943
"ENSG00000004399",143.843789371345,125.210836654891,46.3166245551184,39.5650137457573,195.16268008582,231.804986646013,197.869044314528,246.106856858436
