.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
SRR7179504	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR7179505	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR7179506	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179507	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179508	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179509	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179510	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179511	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179520	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179521	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179522	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR7179523	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR7179524	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179525	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179526	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179527	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0
SRR7179536	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
SRR7179537	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
SRR7179540	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
SRR7179541	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
