Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR7179504	0.2048945590161282	0.6431002495344111
SRR7179505	0.20641421744369823	0.6368342612162461
SRR7179506	0.20518054550303388	0.6428648885111702
SRR7179507	0.2026977234632858	0.6186776107503771
SRR7179508	0.2046284718683491	0.9655059384325888
SRR7179509	0.21595617355283947	0.9504159362969127
SRR7179510	0.21166974587123033	0.9539378282732224
SRR7179511	0.19652718109126008	0.8991882150632062
SRR7179520	0.16518558808998354	0.2096127006350915
SRR7179521	0.16295641470667518	0.2106699481218702
SRR7179522	0.1637471226258261	0.20958449799404136
SRR7179523	0.16212574758608167	0.10350431496696427
SRR7179524	0.18005988896046735	0.10326025308126083
SRR7179525	0.18040810838938728	0.10216600568847653
SRR7179526	0.17756320901809441	0.10311932536522511
SRR7179527	0.17616695231787455	0.0
SRR7179536	1.7066897829444256	27.41408958042196
SRR7179537	1.8963980228593813	29.868156204808177
SRR7179540	1.3441543675902992	19.695145560818684
SRR7179541	1.0607117905348298	19.264997456047073
