Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR7179504	(1, 0.01609780379013601)	(2, 0.002037136105491765)	(3, 0.0011071391877672634)	(4, 7.380927918448422e-06)	(5, 0.0)	(6, 0.003092608797829889)	(7, 0.0)	(8, 5.904742334758738e-05)	(9, 0.0)	(10, 0.0004207128913515601)	(12, 0.0007085690801710485)	(14, 0.0002878561888194885)	(16, 0.0005535695938836317)	(18, 0.001029639444623555)	(20, 0.00031368943653405795)	(22, 0.0004576175309438022)	(24, 0.00020297551775733162)	(26, 0.005329029957119762)	(28, 0.008609852416870085)	(30, 0.017083157667248872)	(32, 0.02381825439283306)	(34, 0.042418192747323086)	(36, 0.039702011273334066)	(38, 0.05367779828691615)	(40, 0.04451068581220321)	(42, 0.054227677416840564)	(44, 0.06858727268218197)	(46, 0.07312654335202774)	(48, 0.06514037934426656)	(50, 0.07358785134693079)	(52, 0.06270467313117858)	(54, 0.08156663442677352)	(56, 0.07500498950727287)	(58, 0.0752522505925409)	(60, 0.07616010472651005)	(62, 0.09833979312144756)	(64, 0.06968703094203078)	(66, 0.09130945927912544)	(68, 0.09581920623729742)	(70, 0.0802528292572897)	(72, 0.07134404925972244)	(74, 0.07347713742815405)	(76, 0.07432594413877561)															
SRR7179505	(1, 0.032262545189712326)	(2, 0.00028530991789831706)	(3, 3.0032622936664952e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0005405872128599692)	(7, 4.504893440499743e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00021398243842373778)	(12, 0.0002365069056262365)	(14, 0.0007733400406191226)	(16, 0.0005631116800624679)	(18, 0.0003603914752399794)	(20, 6.381932374041302e-05)	(22, 0.0012726323969411773)	(24, 0.0022937415767877857)	(26, 0.013432090608423401)	(28, 0.009114901061277813)	(30, 0.011543789441280592)	(32, 0.011119578642300199)	(34, 0.03339627670557143)	(36, 0.03048686635858201)	(38, 0.04712118538762731)	(40, 0.048926896841694295)	(42, 0.05006813651328755)	(44, 0.05876258085345206)	(46, 0.0689624104183169)	(48, 0.06576769015342916)	(50, 0.07073058109371305)	(52, 0.06679255341114286)	(54, 0.07955266408135837)	(56, 0.06250164240906685)	(58, 0.0719206237775784)	(60, 0.08034852858918)	(62, 0.07873427510633427)	(64, 0.08834846852393412)	(66, 0.08716593399580294)	(68, 0.09168584374777101)	(70, 0.0924216430097193)	(72, 0.09096506079729105)	(74, 0.07012242047924558)	(76, 0.06936034267222771)															
SRR7179506	(1, 0.02915191756574871)	(2, 0.0004198103823234498)	(3, 0.0006475041490073548)	(4, 7.1154302088720306e-06)	(5, 0.0)	(6, 0.0014871249136542545)	(7, 0.0)	(8, 0.00022057833647503298)	(9, 0.0)	(10, 0.0004945223995166062)	(12, 0.0005051955448299142)	(14, 0.0002525977724149571)	(16, 0.00041625266721901386)	(18, 1.4230860417744061e-05)	(20, 0.0002099051911617249)	(22, 0.00048384925420329807)	(24, 3.201943593992414e-05)	(26, 0.0005905807073363785)	(28, 0.0006795235849472789)	(30, 0.001174045984463885)	(32, 0.0017148186803381594)	(34, 0.008744863726703725)	(36, 0.00664225409998204)	(38, 0.013359220217157238)	(40, 0.008631016843361773)	(42, 0.01385018490156941)	(44, 0.023335053369995827)	(46, 0.0305536573168965)	(48, 0.02460871537738392)	(50, 0.02973894055798065)	(52, 0.02249899032045336)	(54, 0.03879688321387475)	(56, 0.03909573128264737)	(58, 0.03797149330964559)	(60, 0.036566195843393365)	(62, 0.05931422622115725)	(64, 0.0376263949445153)	(66, 0.05397409584939879)	(68, 0.05196754453049687)	(70, 0.04157545871043928)	(72, 0.03461301025105799)	(74, 0.0336061768765026)	(76, 0.02894557008969142)															
SRR7179507	(1, 0.03429273318418377)	(2, 0.00012803758500628664)	(3, 0.00022762237334450957)	(4, 0.0)	(5, 0.0)	(6, 9.958478833822296e-05)	(7, 7.824519083717517e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0003414335600167644)	(12, 0.00020272617625995384)	(14, 0.0005619427341942581)	(16, 0.0003947825537693838)	(18, 0.00033432036084974845)	(20, 3.9122595418587586e-05)	(22, 0.0006081785287798615)	(24, 0.001607583011745599)	(26, 0.004563117265640716)	(28, 0.001696498001333298)	(30, 0.006430332046982396)	(32, 0.002183752144273889)	(34, 0.021008833739781536)	(36, 0.01354708781358183)	(38, 0.02669227987422726)	(40, 0.025664422594593457)	(42, 0.024974442275392913)	(44, 0.03406155421125576)	(46, 0.04148062094245336)	(48, 0.0377888705747721)	(50, 0.04084754621658895)	(52, 0.03836503970730039)	(54, 0.05658905597319518)	(56, 0.04500165453012625)	(58, 0.053740219706805314)	(60, 0.059918033183358636)	(62, 0.05798324300993031)	(64, 0.06533829094862478)	(66, 0.06327901978977367)	(68, 0.06635192182992454)	(70, 0.06694231736078687)	(72, 0.06359555715270587)	(74, 0.04521505050513673)	(76, 0.0468546429131339)															
SRR7179508	(1, 0.016425801585814342)	(2, 0.001668150346372546)	(3, 0.001308950089306925)	(4, 3.0440699751323837e-05)	(5, 0.0)	(6, 0.003068422534933443)	(7, 0.0)	(8, 0.00010349837915450104)	(9, 0.0)	(10, 0.00041399351661800416)	(12, 0.0007336208640069045)	(14, 0.0002435255980105907)	(16, 0.0005601088754243586)	(18, 0.001101953330997923)	(20, 0.00023134931811006116)	(22, 0.00043834607641906324)	(24, 0.00018568826848307541)	(26, 0.005674146433646763)	(28, 0.008636026519450573)	(30, 0.01694633755156198)	(32, 0.023749833945982856)	(34, 0.04203860635657822)	(36, 0.03945723501766596)	(38, 0.05335341445414528)	(40, 0.044126838359519034)	(42, 0.054123564157853785)	(44, 0.0688751272573453)	(46, 0.07374563921755713)	(48, 0.06488435151994676)	(50, 0.07392219527611481)	(52, 0.06256781426887101)	(54, 0.0825703980754659)	(56, 0.07568775586169159)	(58, 0.07611392565821011)	(60, 0.076524875104853)	(62, 0.098944450471703)	(64, 0.06982183301961148)	(66, 0.09225054059638689)	(68, 0.09681360148911033)	(70, 0.08068611876085896)	(72, 0.07170306826424329)	(74, 0.0740439580751201)	(76, 0.07530420304482491)															
SRR7179509	(1, 0.03236593969101275)	(2, 0.0003335421265867726)	(3, 2.470682419161279e-05)	(4, 0.0)	(5, 0.0)	(6, 0.00037060236287419184)	(7, 4.941364838322558e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00022544977074846667)	(12, 0.0002192730647005635)	(14, 0.0006732609592214484)	(16, 0.0004323694233532238)	(18, 0.00034589553868257905)	(20, 5.867870745508037e-05)	(22, 0.0012631363867962036)	(24, 0.0024027386526343435)	(26, 0.0136227251886505)	(28, 0.00946580201841165)	(30, 0.01164926760634543)	(32, 0.010945123116884463)	(34, 0.033746433492719115)	(36, 0.03051601622966574)	(38, 0.047813881516818646)	(40, 0.049194375318525004)	(42, 0.04991396157310573)	(44, 0.05979051454370294)	(46, 0.06945088280262354)	(48, 0.06652930084196533)	(50, 0.0713872801486412)	(52, 0.06766890310780348)	(54, 0.08060910227816066)	(56, 0.06292828121603777)	(58, 0.07268438841870087)	(60, 0.08158811018675333)	(62, 0.08015820273666374)	(64, 0.08969503687462627)	(66, 0.08783276000118345)	(68, 0.09292854249070359)	(70, 0.09376239780717052)	(72, 0.09252705659758989)	(74, 0.07086843684061733)	(76, 0.07016738070418031)															
SRR7179510	(1, 0.03010599459266507)	(2, 0.00036993907925451523)	(3, 0.0005695887410744123)	(4, 1.1744097754111595e-05)	(5, 0.0)	(6, 0.0013799314861081124)	(7, 0.0)	(8, 0.0001996496618198971)	(9, 0.0)	(10, 0.000519676325619438)	(12, 0.00047857198348004746)	(14, 0.00026130617502898295)	(16, 0.00042865956802507323)	(18, 2.348819550822319e-05)	(20, 0.000173225441873146)	(22, 0.00041985149470948947)	(24, 3.229626882380688e-05)	(26, 0.0005901409121441076)	(28, 0.000519676325619438)	(30, 0.0011333054332717688)	(32, 0.0018115270785717134)	(34, 0.008253164696701922)	(36, 0.006306580493957926)	(38, 0.013223854071129656)	(40, 0.008217932403439588)	(42, 0.013696554005732645)	(44, 0.023065407989075172)	(46, 0.03119525965935892)	(48, 0.02479766240780663)	(50, 0.02993570517523045)	(52, 0.022375442246021116)	(54, 0.038811307052900285)	(56, 0.03863808161102714)	(58, 0.037927563696903394)	(60, 0.036512399917532946)	(62, 0.06056724814239202)	(64, 0.0376339612530506)	(66, 0.054034593766667444)	(68, 0.0522935312746204)	(70, 0.041248207336878444)	(72, 0.03446892690831753)	(74, 0.033605735723390324)	(76, 0.028426588613827113)															
SRR7179511	(1, 0.03389166417199364)	(2, 0.00011702922711323772)	(3, 0.0002457613769377992)	(4, 0.0)	(5, 0.0)	(6, 0.0001228806884688996)	(7, 0.0001228806884688996)	(8, 0.0)	(9, 0.0)	(10, 0.00038034498811802253)	(12, 0.00025746429964912295)	(14, 0.0006465864798006383)	(16, 0.0003920479108293463)	(18, 0.00037741925744019165)	(20, 9.069765101275922e-05)	(22, 0.0006231806343779908)	(24, 0.0016413349102631588)	(26, 0.004672391892496016)	(28, 0.0018051758282216918)	(30, 0.006483419182073369)	(32, 0.0022762184673524736)	(34, 0.020957008845303042)	(36, 0.013663162265470504)	(38, 0.02614140360641947)	(40, 0.025424599590350892)	(42, 0.02485700783885169)	(44, 0.03348791333845297)	(46, 0.04049211258118025)	(48, 0.037039750381339734)	(50, 0.0399011149842584)	(52, 0.037624896516905926)	(54, 0.05565617468437803)	(56, 0.044266305155582164)	(58, 0.05303764572771934)	(60, 0.05861701413034293)	(62, 0.05726825228786288)	(64, 0.06448017840871614)	(66, 0.06283006630641949)	(68, 0.06548955549256782)	(70, 0.06668617933980069)	(72, 0.0632572229853828)	(74, 0.04468175891183416)	(76, 0.04599833771685809)															
SRR7179520	(1, 0.01657342701918846)	(2, 0.0014927380713485225)	(3, 0.0011135019126816007)	(4, 2.420656331916523e-05)	(5, 0.0)	(6, 0.0028240990539026103)	(7, 0.0)	(8, 8.875739883693919e-05)	(9, 0.0)	(10, 0.00033889188646831327)	(12, 0.0007423346084544005)	(14, 0.0002743410509505393)	(16, 0.000532544393021635)	(18, 0.0010247445138446614)	(20, 0.00020172136099304362)	(22, 0.00045589027584427854)	(24, 0.00022189349709234794)	(26, 0.005442442319592317)	(28, 0.008795051339296702)	(30, 0.01669849426300415)	(32, 0.02360946809062582)	(34, 0.04193787095045376)	(36, 0.039682626134551535)	(38, 0.05323830159328406)	(40, 0.04425363217465391)	(42, 0.05443652647758274)	(44, 0.06863367586427314)	(46, 0.07433028709871671)	(48, 0.06623319166845594)	(50, 0.07450376746917073)	(52, 0.06353012543114915)	(54, 0.08269365472548829)	(56, 0.07574637105288787)	(58, 0.07608122851213632)	(60, 0.07684776968390988)	(62, 0.09969069660276215)	(64, 0.07079612885411858)	(66, 0.09301371955389241)	(68, 0.09731845339748396)	(70, 0.08139860358791295)	(72, 0.07286175559068735)	(74, 0.07419311657324144)	(76, 0.07520979223264637)															
SRR7179521	(1, 0.03299087457179008)	(2, 0.00036847588873927857)	(3, 1.637670616619016e-05)	(4, 0.0)	(5, 0.0)	(6, 0.00041760600723784905)	(7, 6.550682466476064e-05)	(8, 0.0)	(9, 0.0)	(10, 0.000204708827077377)	(12, 0.00028249818136678027)	(14, 0.0007001041886046293)	(16, 0.0004257943603209441)	(18, 0.000364381712197731)	(20, 2.4565059249285236e-05)	(22, 0.001191405373590334)	(24, 0.0025465778088425697)	(26, 0.013670455472227235)	(28, 0.009412511869017794)	(30, 0.01188130032357096)	(32, 0.010784061010436219)	(34, 0.033674602054228515)	(36, 0.030649005590024883)	(38, 0.047455600293077535)	(40, 0.04917924861706905)	(42, 0.050178227693206644)	(44, 0.059586645385682896)	(46, 0.06942495161502163)	(48, 0.0662888123841962)	(50, 0.07152117000429398)	(52, 0.06790191794156596)	(54, 0.07970952308738904)	(56, 0.06293158762012724)	(58, 0.0719633410707811)	(60, 0.08048332245374154)	(62, 0.07932876466902514)	(64, 0.08858160365292257)	(66, 0.08727965551271046)	(68, 0.09158263505787692)	(70, 0.0925202014858913)	(72, 0.0908825308692723)	(74, 0.07069824051944291)	(76, 0.06991215862346578)															
