Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR7179504	(1, 31.3012120516972)	(2, 31.243240767640124)	(3, 31.380177499506953)	(4, 31.38469315120746)	(5, 31.38829437974815)	(6, 34.72365709921266)	(7, 34.68061086330876)	(8, 34.64489765310111)	(9, 34.65546883949375)	(10, 34.55922113348615)	(12, 34.64814208758622)	(14, 34.571599207937865)	(16, 34.51676946823071)	(18, 34.475003343560346)	(20, 34.430909643270894)	(22, 34.36380704423951)	(24, 34.310032002227274)	(26, 34.16349187123647)	(28, 34.08631854962995)	(30, 34.01300925450266)	(32, 33.92188011129258)	(34, 33.83654112151133)	(36, 33.74795928414447)	(38, 33.59396733142256)	(40, 33.45288960375636)	(42, 33.28195967621936)	(44, 33.15193164050275)	(46, 32.98439099816126)	(48, 32.85680601268102)	(50, 32.725607066559434)	(52, 32.5885714302585)	(54, 32.48224503027362)	(56, 32.384643293039375)	(58, 32.26491058153445)	(60, 32.17568855938458)	(62, 32.04014368599998)	(64, 31.945868053218263)	(66, 31.84114619315357)	(68, 31.746233364864658)	(70, 31.567893945218163)	(72, 31.412719198797323)	(74, 31.2588352659555)	(76, 28.593332645430852)															
SRR7179505	(1, 31.336651062216333)	(2, 31.261105876258085)	(3, 31.387796619077474)	(4, 31.393955333981538)	(5, 31.389226322092373)	(6, 34.74380806150681)	(7, 34.69267999864853)	(8, 34.65041403724796)	(9, 34.66274348010526)	(10, 34.57566220056536)	(12, 34.663147756750774)	(14, 34.58449746036632)	(16, 34.545895966994145)	(18, 34.511718504225215)	(20, 34.443525266821084)	(22, 34.39378020624904)	(24, 34.339007121485714)	(26, 34.20400109619074)	(28, 34.12359873412494)	(30, 34.07137673297619)	(32, 33.97874163309895)	(34, 33.90172496123915)	(36, 33.82176944706187)	(38, 33.683045683373564)	(40, 33.557466673173735)	(42, 33.374774210986686)	(44, 33.24963168742046)	(46, 33.092007530680206)	(48, 32.96468557720824)	(50, 32.82345420212707)	(52, 32.701665008615606)	(54, 32.6079658904485)	(56, 32.514791141877865)	(58, 32.38577733813355)	(60, 32.28993753214429)	(62, 32.173269238710546)	(64, 32.077629449990056)	(66, 32.0102789655263)	(68, 31.90103462386017)	(70, 31.730487955041163)	(72, 31.571289450665788)	(74, 31.40936706247161)	(76, 28.78723230609249)															
SRR7179506	(1, 31.342972772663998)	(2, 31.285488350475354)	(3, 31.427403471362243)	(4, 31.43741537974624)	(5, 31.423328179864413)	(6, 34.77240762819657)	(7, 34.754249833000856)	(8, 34.71210663411405)	(9, 34.72175465939716)	(10, 34.628541207306355)	(12, 34.70697655124206)	(14, 34.615876310768975)	(16, 34.57538325130191)	(18, 34.53033944729046)	(20, 34.48453294031492)	(22, 34.407575186616384)	(24, 34.34307729833377)	(26, 34.20043658145133)	(28, 34.12576942704564)	(30, 34.06745901014119)	(32, 33.973059807183226)	(34, 33.87287145463017)	(36, 33.78863095138141)	(38, 33.650479501726345)	(40, 33.507205120206656)	(42, 33.30150923967074)	(44, 33.18125629893459)	(46, 33.01130182914942)	(48, 32.88532925657131)	(50, 32.739269397587755)	(52, 32.60264424328965)	(54, 32.456588119906954)	(56, 32.3355106431182)	(58, 32.221087623392236)	(60, 32.14390253169853)	(62, 31.982857363232185)	(64, 31.861435819815675)	(66, 31.765272274783115)	(68, 31.689159691884797)	(70, 31.515829697585676)	(72, 31.348252991113398)	(74, 31.16261600641641)	(76, 28.549779407432666)															
SRR7179507	(1, 31.376256439934867)	(2, 31.312237647431722)	(3, 31.43914665225817)	(4, 31.448404623238027)	(5, 31.432440541479483)	(6, 34.82627632843974)	(7, 34.76678487381042)	(8, 34.7185270812296)	(9, 34.710862253467184)	(10, 34.61454245911262)	(12, 34.69032257077846)	(14, 34.6225252468778)	(16, 34.59364092798227)	(18, 34.52676526129768)	(20, 34.48400092130156)	(22, 34.36618425661236)	(24, 34.30713374919941)	(26, 34.172279300903405)	(28, 34.09565193608478)	(30, 34.03984561654792)	(32, 33.941464737168715)	(34, 33.84065669196974)	(36, 33.788607919892854)	(38, 33.62824223174632)	(40, 33.51366587823967)	(42, 33.294973699657405)	(44, 33.145328883031404)	(46, 32.994719836692326)	(48, 32.85351831634559)	(50, 32.7004243805755)	(52, 32.540896164932896)	(54, 32.42839131728766)	(56, 32.316738879864616)	(58, 32.18159727171823)	(60, 32.082614366727526)	(62, 31.948801504185546)	(64, 31.823604006210676)	(66, 31.734529858791618)	(68, 31.623806760839734)	(70, 31.462388283650483)	(72, 31.28476433828896)	(74, 31.09771195412954)	(76, 28.42248071113782)															
SRR7179508	(1, 31.323401141818472)	(2, 31.25937576596411)	(3, 31.37807215152065)	(4, 31.368159259409435)	(5, 31.375510688399377)	(6, 34.707559424203204)	(7, 34.66623818337697)	(8, 34.62244205277955)	(9, 34.622737205804334)	(10, 34.51177263622183)	(12, 34.60725098685704)	(14, 34.527698753721225)	(16, 34.46675172406991)	(18, 34.42308417498824)	(20, 34.38181602274237)	(22, 34.314164185445236)	(24, 34.25213352776417)	(26, 34.099647265347556)	(28, 34.02023746424588)	(30, 33.93839459889446)	(32, 33.85184070040884)	(34, 33.76603275127063)	(36, 33.66594637882915)	(38, 33.513214520846944)	(40, 33.370191084795735)	(42, 33.24409371279005)	(44, 33.137472574451564)	(46, 32.960475369273084)	(48, 32.82281406248306)	(50, 32.68923324017261)	(52, 32.54844314694006)	(54, 32.424664717000724)	(56, 32.327709657579874)	(58, 32.198445722223255)	(60, 32.10274180600288)	(62, 31.97257706945922)	(64, 31.873142706365723)	(66, 31.74202204052777)	(68, 31.61627193602485)	(70, 31.43064077429451)	(72, 31.304169955784275)	(74, 31.154913877781077)	(76, 28.48721058352508)															
SRR7179509	(1, 31.350964267199608)	(2, 31.274826173594224)	(3, 31.384073758764668)	(4, 31.37605781495688)	(5, 31.37735739390936)	(6, 34.728964717975614)	(7, 34.67542601822536)	(8, 34.6282408018501)	(9, 34.62759410072688)	(10, 34.53059761051656)	(12, 34.62189235249053)	(14, 34.54003157161529)	(16, 34.49718669569636)	(18, 34.45763063779617)	(20, 34.39477975070691)	(22, 34.34616265033562)	(24, 34.282517130013304)	(26, 34.14433025636604)	(28, 34.060327177648674)	(30, 34.00114500688363)	(32, 33.91230201572478)	(34, 33.83397536074897)	(36, 33.74273003242338)	(38, 33.60590836523036)	(40, 33.47535336780882)	(42, 33.34235112856758)	(44, 33.23829277944916)	(46, 33.07703800879304)	(48, 32.93002749437163)	(50, 32.78816322612816)	(52, 32.66510322912633)	(54, 32.561448774816384)	(56, 32.45727550808194)	(58, 32.32449025652416)	(60, 32.22438175650572)	(62, 32.10374318269233)	(64, 32.00436702382646)	(66, 31.89967979338177)	(68, 31.76794149349911)	(70, 31.595756392937083)	(72, 31.4636150629848)	(74, 31.30707793687394)	(76, 28.668853570620968)															
SRR7179510	(1, 31.35844982842167)	(2, 31.302980751834824)	(3, 31.41836369368551)	(4, 31.419530234915428)	(5, 31.41010371741211)	(6, 34.757308630954704)	(7, 34.73841648810255)	(8, 34.688611883464965)	(9, 34.68888869184903)	(10, 34.58239435846427)	(12, 34.66646947347863)	(14, 34.56882334886353)	(16, 34.526929715274335)	(18, 34.478654397686036)	(20, 34.433920835738185)	(22, 34.357711300834396)	(24, 34.28583375254868)	(26, 34.13730729330197)	(28, 34.05630737028453)	(30, 33.99469516168422)	(32, 33.90295256012816)	(34, 33.80215681529664)	(36, 33.707459310664916)	(38, 33.57109509777284)	(40, 33.42138820990061)	(42, 33.27034108559269)	(44, 33.161690036736125)	(46, 32.99201019669543)	(48, 32.84910924835367)	(50, 32.70258929756848)	(52, 32.56302522908184)	(54, 32.396252816601645)	(56, 32.2767538033701)	(58, 32.155577410016576)	(60, 32.069801925808896)	(62, 31.912489295988905)	(64, 31.78486542232862)	(66, 31.662314206171512)	(68, 31.553522609825077)	(70, 31.37937907311)	(72, 31.23379398186629)	(74, 31.058295998357234)	(76, 28.443258362340764)															
SRR7179511	(1, 31.39772271656668)	(2, 31.325636808687875)	(3, 31.43345876135798)	(4, 31.430212312083246)	(5, 31.4197653470373)	(6, 34.813358804354515)	(7, 34.75626422343969)	(8, 34.70146639962157)	(9, 34.679183508147695)	(10, 34.57256719057531)	(12, 34.656219652858546)	(14, 34.58385843372295)	(16, 34.54908963549374)	(18, 34.48142351192072)	(20, 34.44020508669877)	(22, 34.319794651155775)	(24, 34.254787285336214)	(26, 34.11523417431316)	(28, 34.032536612008556)	(30, 33.97103608549406)	(32, 33.875823271355436)	(34, 33.774428505323776)	(36, 33.70973890311314)	(38, 33.5546427893495)	(40, 33.43170402512665)	(42, 33.25776146611407)	(44, 33.126192118221994)	(46, 32.96766897908618)	(48, 32.815494295176265)	(50, 32.66573535782973)	(52, 32.497145774179934)	(54, 32.36577727769888)	(56, 32.25856367220862)	(58, 32.11299692657843)	(60, 32.007151773098116)	(62, 31.87900778291172)	(64, 31.746582307708692)	(66, 31.641792553055787)	(68, 31.502988077998577)	(70, 31.330024585500034)	(72, 31.17073016524293)	(74, 30.994076185324673)	(76, 28.31625182536337)															
SRR7179520	(1, 31.327377147051564)	(2, 31.26391633308005)	(3, 31.379616443776666)	(4, 31.37430842857204)	(5, 31.37773753033183)	(6, 34.71314391374782)	(7, 34.67439243341561)	(8, 34.62947110353607)	(9, 34.64134797314007)	(10, 34.537718666963926)	(12, 34.630735896469496)	(14, 34.54923445533175)	(16, 34.48636077155354)	(18, 34.44510003886767)	(20, 34.395495747592676)	(22, 34.32994473722283)	(24, 34.26390838525843)	(26, 34.109663962067344)	(28, 34.03074439297322)	(30, 33.954044565735465)	(32, 33.86326874296043)	(34, 33.77901178803151)	(36, 33.68000113448093)	(38, 33.526446235246)	(40, 33.38621910667615)	(42, 33.26041937225442)	(44, 33.12761373393259)	(46, 32.96098813773502)	(48, 32.82568660101363)	(50, 32.69156989487816)	(52, 32.55377141080612)	(54, 32.444531951170845)	(56, 32.33250284649013)	(58, 32.212938157959606)	(60, 32.124362066281925)	(62, 31.978076317323193)	(64, 31.883506599879148)	(66, 31.72996711215619)	(68, 31.60953300455979)	(70, 31.45264825047467)	(72, 31.330469898614037)	(74, 31.17875966053684)	(76, 28.491417441942374)															
SRR7179521	(1, 31.354273435967244)	(2, 31.2821473923207)	(3, 31.386565107069266)	(4, 31.384249440817367)	(5, 31.380184906113982)	(6, 34.73567709655411)	(7, 34.67903203513)	(8, 34.63526422341496)	(9, 34.64245646334549)	(10, 34.55374589313151)	(12, 34.64519182363467)	(14, 34.564667886949636)	(16, 34.517658879433704)	(18, 34.47900416197611)	(20, 34.410657370811535)	(22, 34.36327722619212)	(24, 34.29493620781648)	(26, 34.154595819616475)	(28, 34.0720053473221)	(30, 34.01396707856266)	(32, 33.92287893814748)	(34, 33.8489279562493)	(36, 33.76238906009826)	(38, 33.62107560895963)	(40, 33.49487106127934)	(42, 33.354416650262664)	(44, 33.22383829378305)	(46, 33.07155769005904)	(48, 32.92998466812769)	(50, 32.78634380045049)	(52, 32.66777329529134)	(54, 32.574636879294175)	(56, 32.463366495617436)	(58, 32.335916130957315)	(60, 32.242543153439584)	(62, 32.106918970023095)	(64, 32.01211851691239)	(66, 31.8936059443513)	(68, 31.764126382971895)	(70, 31.62195213121541)	(72, 31.490717682945004)	(74, 31.33489623063905)	(76, 28.676730698495994)															
