Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR7179504	(9.0, 2.0)	(10.0, 38.0)	(11.0, 151.0)	(12.0, 554.0)	(13.0, 794.0)	(14.0, 1016.0)	(15.0, 1115.0)	(16.0, 1314.0)	(17.0, 699.0)	(18.0, 1133.0)	(19.0, 2067.0)	(20.0, 4008.0)	(21.0, 8866.0)	(22.0, 20425.0)	(23.0, 41659.0)	(24.0, 78896.0)	(25.0, 138274.0)	(26.0, 224507.0)	(27.0, 305642.0)	(28.0, 408923.0)	(29.0, 543157.0)	(30.0, 711922.0)	(31.0, 936593.0)	(32.0, 1293956.0)	(33.0, 1954443.0)	(34.0, 3375509.0)	(35.0, 3492769.0)									
SRR7179505	(9.0, 1.0)	(10.0, 22.0)	(11.0, 127.0)	(12.0, 480.0)	(13.0, 651.0)	(14.0, 617.0)	(15.0, 642.0)	(16.0, 1130.0)	(17.0, 1368.0)	(18.0, 1605.0)	(19.0, 2292.0)	(20.0, 4305.0)	(21.0, 8150.0)	(22.0, 18075.0)	(23.0, 37486.0)	(24.0, 70688.0)	(25.0, 123516.0)	(26.0, 204582.0)	(27.0, 291793.0)	(28.0, 386641.0)	(29.0, 511211.0)	(30.0, 673645.0)	(31.0, 892948.0)	(32.0, 1246877.0)	(33.0, 1902781.0)	(34.0, 3341102.0)	(35.0, 3596115.0)									
SRR7179506	(11.0, 3.0)	(12.0, 10.0)	(13.0, 18.0)	(14.0, 48.0)	(15.0, 118.0)	(16.0, 342.0)	(17.0, 572.0)	(18.0, 1274.0)	(19.0, 2280.0)	(20.0, 4217.0)	(21.0, 9035.0)	(22.0, 19660.0)	(23.0, 41110.0)	(24.0, 77102.0)	(25.0, 136302.0)	(26.0, 224403.0)	(27.0, 305737.0)	(28.0, 406860.0)	(29.0, 549787.0)	(30.0, 729871.0)	(31.0, 979922.0)	(32.0, 1380912.0)	(33.0, 2122349.0)	(34.0, 3649747.0)	(35.0, 3412285.0)											
SRR7179507	(10.0, 4.0)	(11.0, 4.0)	(12.0, 50.0)	(13.0, 196.0)	(14.0, 310.0)	(15.0, 366.0)	(16.0, 516.0)	(17.0, 886.0)	(18.0, 1158.0)	(19.0, 2040.0)	(20.0, 4145.0)	(21.0, 9231.0)	(22.0, 20966.0)	(23.0, 42694.0)	(24.0, 80722.0)	(25.0, 143051.0)	(26.0, 226788.0)	(27.0, 299896.0)	(28.0, 408554.0)	(29.0, 550708.0)	(30.0, 732671.0)	(31.0, 984620.0)	(32.0, 1392806.0)	(33.0, 2155315.0)	(34.0, 3713347.0)	(35.0, 3287328.0)										
SRR7179508	(10.0, 37.0)	(11.0, 211.0)	(12.0, 729.0)	(13.0, 931.0)	(14.0, 1191.0)	(15.0, 1290.0)	(16.0, 1606.0)	(17.0, 879.0)	(18.0, 1446.0)	(19.0, 2664.0)	(20.0, 5421.0)	(21.0, 12167.0)	(22.0, 26938.0)	(23.0, 52667.0)	(24.0, 96072.0)	(25.0, 160449.0)	(26.0, 253116.0)	(27.0, 375145.0)	(28.0, 519250.0)	(29.0, 688250.0)	(30.0, 898748.0)	(31.0, 1185793.0)	(32.0, 1637798.0)	(33.0, 2453944.0)	(34.0, 4083504.0)	(35.0, 3965132.0)										
SRR7179509	(9.0, 4.0)	(10.0, 34.0)	(11.0, 166.0)	(12.0, 609.0)	(13.0, 816.0)	(14.0, 719.0)	(15.0, 817.0)	(16.0, 1367.0)	(17.0, 1586.0)	(18.0, 1923.0)	(19.0, 2714.0)	(20.0, 5492.0)	(21.0, 11338.0)	(22.0, 24043.0)	(23.0, 47513.0)	(24.0, 86700.0)	(25.0, 146481.0)	(26.0, 233131.0)	(27.0, 346535.0)	(28.0, 486213.0)	(29.0, 654294.0)	(30.0, 857371.0)	(31.0, 1136916.0)	(32.0, 1584329.0)	(33.0, 2402953.0)	(34.0, 4061292.0)	(35.0, 4094503.0)									
SRR7179510	(11.0, 3.0)	(12.0, 10.0)	(13.0, 21.0)	(14.0, 71.0)	(15.0, 151.0)	(16.0, 358.0)	(17.0, 664.0)	(18.0, 1478.0)	(19.0, 2734.0)	(20.0, 5429.0)	(21.0, 11872.0)	(22.0, 25772.0)	(23.0, 50875.0)	(24.0, 93255.0)	(25.0, 157267.0)	(26.0, 249375.0)	(27.0, 371509.0)	(28.0, 520522.0)	(29.0, 700771.0)	(30.0, 927887.0)	(31.0, 1246264.0)	(32.0, 1753380.0)	(33.0, 2660949.0)	(34.0, 4403268.0)	(35.0, 3845946.0)											
SRR7179511	(9.0, 1.0)	(10.0, 2.0)	(11.0, 22.0)	(12.0, 60.0)	(13.0, 247.0)	(14.0, 400.0)	(15.0, 440.0)	(16.0, 588.0)	(17.0, 1043.0)	(18.0, 1550.0)	(19.0, 2683.0)	(20.0, 5535.0)	(21.0, 12152.0)	(22.0, 26629.0)	(23.0, 53318.0)	(24.0, 96894.0)	(25.0, 162139.0)	(26.0, 256327.0)	(27.0, 376884.0)	(28.0, 523191.0)	(29.0, 699110.0)	(30.0, 925905.0)	(31.0, 1249870.0)	(32.0, 1771927.0)	(33.0, 2707985.0)	(34.0, 4486172.0)	(35.0, 3728674.0)									
SRR7179520	(8.0, 1.0)	(9.0, 4.0)	(10.0, 27.0)	(11.0, 126.0)	(12.0, 540.0)	(13.0, 747.0)	(14.0, 909.0)	(15.0, 997.0)	(16.0, 1207.0)	(17.0, 653.0)	(18.0, 1186.0)	(19.0, 2113.0)	(20.0, 4524.0)	(21.0, 10344.0)	(22.0, 21581.0)	(23.0, 41909.0)	(24.0, 74824.0)	(25.0, 126464.0)	(26.0, 195865.0)	(27.0, 276058.0)	(28.0, 382817.0)	(29.0, 509705.0)	(30.0, 669476.0)	(31.0, 885151.0)	(32.0, 1223340.0)	(33.0, 1834924.0)	(34.0, 3074409.0)	(35.0, 3053432.0)								
SRR7179521	(9.0, 6.0)	(10.0, 20.0)	(11.0, 118.0)	(12.0, 452.0)	(13.0, 649.0)	(14.0, 548.0)	(15.0, 604.0)	(16.0, 1057.0)	(17.0, 1199.0)	(18.0, 1460.0)	(19.0, 2312.0)	(20.0, 4408.0)	(21.0, 9452.0)	(22.0, 19662.0)	(23.0, 37609.0)	(24.0, 67888.0)	(25.0, 114842.0)	(26.0, 181783.0)	(27.0, 258942.0)	(28.0, 358853.0)	(29.0, 481237.0)	(30.0, 636201.0)	(31.0, 847432.0)	(32.0, 1183973.0)	(33.0, 1792501.0)	(34.0, 3055183.0)	(35.0, 3154077.0)									
