Sample	Unique Reads	Duplicate Reads
SRR7179504	4753671.0	8794761.0
SRR7179505	4669804.0	8649046.0
SRR7179506	4899848.0	9154116.0
SRR7179507	4980574.0	9077798.0
SRR7179508	5742897.0	10682481.0
SRR7179509	5649944.0	10539915.0
SRR7179510	5915440.0	11114391.0
SRR7179511	6059936.0	11029812.0
SRR7179520	4735851.0	7657482.0
SRR7179521	4654640.0	7557828.0
SRR7179522	4880450.0	7980234.0
SRR7179523	4962172.0	7935841.0
SRR7179524	5159203.0	8937218.0
SRR7179525	5078601.0	8815453.0
SRR7179526	5304074.0	9304245.0
SRR7179527	5410711.0	9224270.0
SRR7179536	4247399.0	21892911.0
SRR7179537	9282229.0	66834967.0
SRR7179540	10994011.0	61093245.0
SRR7179541	5217619.0	18800121.0
