Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR7179504	64.91350014502532	46.0	76.0	76	20.0	13.548432
SRR7179505	64.9383865288582	46.0	76.0	76	20.0	13.31885
SRR7179506	65.13547468642787	46.0	76.0	76	20.0	14.053963999999999
SRR7179507	64.57218833081849	46.0	76.0	76	20.0	14.058371999999999
SRR7179508	65.03644527933531	46.0	76.0	76	20.0	16.425378
SRR7179509	65.10196280846154	46.0	76.0	76	20.0	16.189859
SRR7179510	65.26425276343083	47.0	76.0	76	20.0	17.029830999999998
SRR7179511	64.54051988232493	47.0	76.0	76	20.0	17.089748
SRR7179520	61.78711177012461	46.0	76.0	76	20.0	12.393333
SRR7179521	61.8861695116789	46.0	76.0	76	20.0	12.212468
SRR7179522	62.05140067826817	46.0	76.0	76	20.0	12.860684
SRR7179523	61.52762600667253	46.0	76.0	76	20.0	12.898012999999999
SRR7179524	63.4006213662025	46.0	76.0	76	20.0	14.096421
SRR7179525	63.4476704863715	46.0	76.0	76	20.0	13.894053999999999
SRR7179526	63.69141886731883	46.0	76.0	76	20.0	14.608319
SRR7179527	63.02891761107119	46.0	76.0	76	20.0	14.634981
SRR7179536	83.75153657168597	50.0	58.0	58	36.36363636363637	26.14031
SRR7179537	87.80534602896805	49.0	58.0	58	36.36363636363637	76.11719599999999
SRR7179540	84.749022963158	48.0	58.0	58	45.45454545454545	72.087256
SRR7179541	78.27597966046154	48.0	58.0	58	45.45454545454545	24.01774
