#Transcript position	Transcript coverage profile
0.0	6832.255024766193
1.0	8429.034059666334
2.0	10557.881945467536
3.0	11012.152077138477
4.0	11890.07365349419
5.0	13098.172700188281
6.0	15041.02187947605
7.0	15783.656976851624
8.0	16223.605952051652
9.0	18100.11571281531
10.0	20317.45587357714
11.0	22129.517476184308
12.0	23382.644871851262
13.0	23968.413514058597
14.0	25073.264947255302
15.0	25666.220096655223
16.0	25974.899321952693
17.0	26423.974991061747
18.0	27099.184241757637
19.0	27133.113997548327
20.0	27182.463921131915
21.0	27267.94292838668
22.0	27282.38662762509
23.0	29446.33365917066
24.0	28967.215464423778
25.0	26566.86794963653
26.0	25120.689617594584
27.0	24241.50814990892
28.0	24733.63364862582
29.0	23958.46051820056
30.0	24274.793528289363
31.0	23764.791428459746
32.0	24678.76665153915
33.0	25107.12497210662
34.0	25726.30500260074
35.0	27965.833749338235
36.0	30597.924791826623
37.0	30972.48800460364
38.0	29866.885860971783
39.0	30096.13226398855
40.0	30356.012072335212
41.0	30220.641563945726
42.0	30146.901208524607
43.0	29791.373749149752
44.0	29136.01411152518
45.0	29405.534482504776
46.0	28115.409787648277
47.0	26199.37799564164
48.0	28958.596570961403
49.0	30983.180657510147
50.0	30394.428175449437
51.0	27925.35167021375
52.0	27080.789198124967
53.0	28130.417358426475
54.0	29191.3337188579
55.0	29328.88660543432
56.0	28415.977382301862
57.0	27019.02262054041
58.0	27662.832757295437
59.0	27690.01057865958
60.0	27566.7046013131
61.0	27701.62887410727
62.0	28597.143158717547
63.0	28270.80733188501
64.0	26718.157932320395
65.0	23732.327719785055
66.0	21641.291293273225
67.0	22627.479160080267
68.0	24576.895296688373
69.0	24924.773635837795
70.0	26324.530489232107
71.0	26196.09135624546
72.0	28659.57396975978
73.0	32635.206191714748
74.0	33174.25523955915
75.0	31964.055684430914
76.0	33260.44717115352
77.0	30977.035873466917
78.0	29581.112751464076
79.0	28212.26027835522
80.0	26731.256272445422
81.0	25475.25215879005
82.0	25276.445776611483
83.0	24820.375345804965
84.0	22632.115120784216
85.0	21339.90008013737
86.0	20804.52690437329
87.0	21458.65048404609
88.0	21074.489964232325
89.0	19750.2822571594
90.0	17391.497937175223
91.0	16471.41948367388
92.0	14885.457314179628
93.0	13967.850518750141
94.0	12036.680515750884
95.0	9711.748047541263
96.0	7231.72614380359
97.0	4287.5853851208
98.0	1924.9111666417098
99.0	634.5843118181426
