#Transcript position	Transcript coverage profile
0.0	63630.346698823196
1.0	67680.5626935735
2.0	73778.61140714346
3.0	79948.98779390524
4.0	87206.74610815317
5.0	93657.82370137743
6.0	100656.02331433675
7.0	106671.11302102752
8.0	110438.76286730809
9.0	116117.1418551269
10.0	122538.43337692971
11.0	126766.59304372984
12.0	130621.2723559493
13.0	134421.35679659565
14.0	136446.96836318876
15.0	139013.4894917972
16.0	139884.84553131944
17.0	142408.96000364845
18.0	144357.20544198298
19.0	147523.48721181226
20.0	149363.24629100214
21.0	150994.87287478286
22.0	152552.5394224436
23.0	155949.2267204412
24.0	156833.01380654736
25.0	154528.80411598238
26.0	154321.7568092722
27.0	153592.91834695468
28.0	155653.7942009158
29.0	154654.3233017458
30.0	155011.918463087
31.0	156390.64464728144
32.0	158367.11755420282
33.0	159237.76317125472
34.0	160823.38200295792
35.0	161935.15295720188
36.0	164508.84057996818
37.0	164511.3025881061
38.0	164047.4209264399
39.0	164508.9304450172
40.0	166446.15128272772
41.0	166154.57292475013
42.0	166886.18810866104
43.0	166414.43598253693
44.0	166260.7170288522
45.0	166947.10297367687
46.0	166282.1064048039
47.0	164969.29095076176
48.0	167907.73754014802
49.0	169343.82422477214
50.0	167817.17711409187
51.0	164406.15140771744
52.0	163426.7568945746
53.0	163318.1772810152
54.0	163970.92233649583
55.0	163604.51912125706
56.0	161691.44893268673
57.0	161376.72904758263
58.0	162214.0908670954
59.0	161211.0109445757
60.0	161005.03264792962
61.0	160806.4220362538
62.0	161648.35282894684
63.0	161390.2812118318
64.0	159502.86569222686
65.0	155269.34263430117
66.0	152622.99887131611
67.0	152427.01958787712
68.0	154600.34392573987
69.0	154835.35914643217
70.0	156283.80611048348
71.0	155704.1800647864
72.0	157876.28550054602
73.0	162208.40761004787
74.0	163344.9891876784
75.0	163487.39780531925
76.0	165577.4931968812
77.0	163756.61502655275
78.0	162187.24915056137
79.0	160871.2769310954
80.0	160122.80782970603
81.0	158459.7263679568
82.0	155698.32217026144
83.0	153740.99278555377
84.0	149840.3802260776
85.0	147205.41185561853
86.0	143970.8612141468
87.0	144038.21814138957
88.0	141600.6998250429
89.0	137162.67715198777
90.0	130231.05155327909
91.0	124166.86455447975
92.0	114252.69718933348
93.0	105180.86081126593
94.0	95458.05683965869
95.0	83625.27096613837
96.0	70141.56856576762
97.0	51647.68385893847
98.0	31572.022962473995
99.0	10384.018456485195
