#Transcript position	Transcript coverage profile
0.0	58154.40816128109
1.0	62907.34895812235
2.0	68669.36686627689
3.0	73594.37892552634
4.0	80164.926515256
5.0	86173.82755415537
6.0	92087.09971557968
7.0	97875.91734865372
8.0	102288.45009004886
9.0	108606.954414437
10.0	115141.32349189969
11.0	118964.24735943171
12.0	121647.67673530523
13.0	124355.01104952424
14.0	126273.48130707492
15.0	128381.20159229248
16.0	129411.10288557329
17.0	131234.9742983504
18.0	132634.73293885676
19.0	134649.19680088616
20.0	136457.6350193547
21.0	138232.06468201516
22.0	139544.2864972173
23.0	142411.46234209283
24.0	142722.17566065345
25.0	141340.0430912737
26.0	142041.1263669449
27.0	141800.2095935037
28.0	143873.20568011457
29.0	143823.0231704548
30.0	144700.6247000727
31.0	145707.5104842001
32.0	147635.58357313377
33.0	148408.74821881944
34.0	148867.378216279
35.0	149027.14387550388
36.0	151134.11845692428
37.0	150831.38337163956
38.0	150354.11048054148
39.0	151823.33763237883
40.0	153767.2328575456
41.0	154159.9688476633
42.0	155313.21604704883
43.0	155156.0729606105
44.0	153745.93423567488
45.0	154329.05067365375
46.0	154126.53301846574
47.0	153037.76707543706
48.0	155681.63291237666
49.0	157116.35097823577
50.0	155622.66236478367
51.0	152272.2179660507
52.0	151996.73742238412
53.0	151963.94843326326
54.0	152227.3911258584
55.0	151843.70702896937
56.0	149494.7233665978
57.0	148660.77193380828
58.0	148945.9507615845
59.0	148425.5968441324
60.0	148733.7102951855
61.0	149154.20926361252
62.0	150148.7384548468
63.0	149809.20430616775
64.0	147771.341956708
65.0	143314.67311696283
66.0	140457.16392534226
67.0	140266.42927522946
68.0	141469.6647937147
69.0	141367.56234231245
70.0	142215.31769138871
71.0	141047.85335986994
72.0	142995.52759667183
73.0	147687.73408422244
74.0	149891.33856008644
75.0	149877.08344167197
76.0	151034.33984679752
77.0	149581.17991111256
78.0	147857.67891649422
79.0	146296.81774331979
80.0	145182.29294076856
81.0	143747.00077941865
82.0	141261.26967664764
83.0	139116.5556646353
84.0	135496.5617489465
85.0	133020.46794837035
86.0	129591.61744455935
87.0	129551.41785085716
88.0	126934.61605508151
89.0	122184.80184227978
90.0	115537.23044798571
91.0	110525.3521505846
92.0	101628.22618405666
93.0	93476.7798829366
94.0	85118.64621470204
95.0	74506.48028578113
96.0	62134.7794035306
97.0	45716.56623952599
98.0	27945.272101947256
99.0	9191.541783980983
