#Transcript position	Transcript coverage profile
0.0	9430.152894708792
1.0	12038.287821091626
2.0	14285.52985303409
3.0	14496.438803557947
4.0	16133.899588731527
5.0	18472.57280931055
6.0	20930.357665209103
7.0	22953.610626460762
8.0	24965.84783997406
9.0	28485.770316702674
10.0	31843.732899021386
11.0	34359.18123389278
12.0	35607.250771224026
13.0	35599.38507134912
14.0	36505.21998908313
15.0	37018.92069396046
16.0	37784.25179759979
17.0	37341.16823928219
18.0	38009.2405717355
19.0	36807.40011117805
20.0	36457.76467477785
21.0	37014.370438619255
22.0	37033.89275581054
23.0	39573.567176035605
24.0	38890.85493139651
25.0	36626.657161231575
26.0	36646.12898347495
27.0	36116.82820927759
28.0	37230.322104424115
29.0	37055.96810575227
30.0	38210.939801313536
31.0	37791.475543292414
32.0	38896.43863923188
33.0	38598.84295817184
34.0	38376.54657645481
35.0	40126.77784792201
36.0	42372.93522928902
37.0	42508.03049334751
38.0	42352.56187951441
39.0	44861.66559113534
40.0	46060.51466958046
41.0	46103.56622869208
42.0	46156.82357685373
43.0	45667.10151418025
44.0	44753.37547914075
45.0	44724.27052396744
46.0	43614.28011203601
47.0	41877.83086153081
48.0	45862.113567699205
49.0	48135.28484161347
50.0	46864.4702445888
51.0	44008.45063651245
52.0	43003.91453609836
53.0	43702.75103551013
54.0	45030.17595583426
55.0	44836.96123703731
56.0	42905.10225812308
57.0	40658.941459995374
58.0	39857.81619355044
59.0	40122.59096107137
60.0	40186.967199034974
61.0	40907.10256663679
62.0	41682.78118863612
63.0	41610.23948388817
64.0	39470.21281391419
65.0	35419.996941084115
66.0	32770.87286887227
67.0	33474.002669453446
68.0	35006.92100967942
69.0	35023.75368844802
70.0	35608.373254808954
71.0	34140.917182689685
72.0	36387.061921077606
73.0	41697.064312272385
74.0	43979.663593075
75.0	43222.844578399476
76.0	44506.228454901175
77.0	42204.03534751482
78.0	40506.212180015595
79.0	36925.05615826456
80.0	35411.02693998131
81.0	34287.81972354853
82.0	33733.00757669697
83.0	32420.85943450545
84.0	29401.974765087445
85.0	28237.04618605264
86.0	27701.616032130867
87.0	28465.22350072262
88.0	27765.527777005496
89.0	25663.993120816496
90.0	23119.150721764992
91.0	22150.56424363086
92.0	20024.42896749857
93.0	18649.78342778241
94.0	16575.871993859277
95.0	13122.851015787326
96.0	9203.739320993684
97.0	5502.294885633513
98.0	3021.100634768551
99.0	925.3070047855967
