#Transcript position	Transcript coverage profile
0.0	2557.9536391833294
1.0	2358.20861086936
2.0	3356.7608121135067
3.0	5556.655652782634
4.0	7638.3640604704015
5.0	9443.702539902704
6.0	9164.831273135997
7.0	9159.211904440526
8.0	9717.473028228249
9.0	12408.101682040344
10.0	19875.82027427254
11.0	44005.47898485496
12.0	49584.99358664792
13.0	49766.58131913059
14.0	38365.04503877885
15.0	17966.49406014895
16.0	11558.008982220063
17.0	9825.192642780745
18.0	10180.76705542162
19.0	12734.72109215456
20.0	14871.718375319877
21.0	17735.82112923458
22.0	19923.30488659422
23.0	31605.07824995746
24.0	27278.160211998664
25.0	30725.425654434504
26.0	35674.25505508766
27.0	40648.25723556003
28.0	38060.87441718583
29.0	32966.0638319366
30.0	32691.73946569259
31.0	27510.407708607974
32.0	24341.232236557982
33.0	29746.600229893993
34.0	34626.030665431266
35.0	34633.91170594328
36.0	32473.93665043451
37.0	25326.361884595084
38.0	20405.492616644427
39.0	18989.517322794123
40.0	23524.749879770498
41.0	33650.87091443307
42.0	36666.294599876725
43.0	40895.19576357249
44.0	32622.16380184837
45.0	27216.757501837084
46.0	22294.014809695782
47.0	18537.54295817986
48.0	15184.308123392784
49.0	15133.071665975851
50.0	15171.645334658246
51.0	15237.42917587376
52.0	15313.225236815215
53.0	15592.39611231257
54.0	16317.739063593799
55.0	15448.831500423092
56.0	16452.113185913728
57.0	18560.328697577563
58.0	19440.02920755542
59.0	19241.19275040035
60.0	20743.580017706703
61.0	24193.035914170137
62.0	25047.222096103156
63.0	25490.851859310405
64.0	25499.152698105634
65.0	24121.015667452193
66.0	20921.139326342334
67.0	20077.180096097116
68.0	20733.9867852818
69.0	21626.16429718925
70.0	20126.305774552788
71.0	17003.63964620887
72.0	14422.286899115135
73.0	12945.839945673786
74.0	13244.747581973008
75.0	13233.415468048692
76.0	15606.968112646804
77.0	14878.099641714036
78.0	13356.930991658479
79.0	11241.397353254888
80.0	10943.689843320411
81.0	13365.871126779333
82.0	12330.650883828594
83.0	12627.877277408164
84.0	9637.937530612066
85.0	10203.752640051189
86.0	10275.876012040408
87.0	9960.837286189873
88.0	10224.376557069116
89.0	10022.520737517621
90.0	11196.244324154006
91.0	10625.847362468694
92.0	17107.858528601042
93.0	21699.918632748308
94.0	18335.53151210141
95.0	15461.523673024787
96.0	2734.604126803877
97.0	1106.2002108230265
98.0	637.5925551920745
99.0	216.2956560883299
