#Transcript position	Transcript coverage profile
0.0	17777.72249459441
1.0	18149.371258089766
2.0	20042.96085061817
3.0	23494.50203819883
4.0	27069.564113863384
5.0	30379.4281773266
6.0	31845.64687030105
7.0	33140.04185367891
8.0	34742.05489227099
9.0	38775.020228526184
10.0	47748.66016557645
11.0	72633.60791169286
12.0	79132.59627689513
13.0	79988.69420902678
14.0	69160.20858572476
15.0	49534.54928915369
16.0	43553.11187353377
17.0	42560.42768066351
18.0	43293.299210821584
19.0	46530.92527144027
20.0	49104.3807268512
21.0	52504.839221579095
22.0	55099.30983831602
23.0	67188.43377612416
24.0	62870.80368028946
25.0	66409.0930434196
26.0	71861.7114787857
27.0	76893.19744830257
28.0	75076.6256915556
29.0	69828.09386130107
30.0	69539.37055120047
31.0	64373.67730569
32.0	61459.76801245021
33.0	67031.77749351645
34.0	72099.24424344208
35.0	72351.3922186808
36.0	70254.58621206404
37.0	63100.89295902551
38.0	58346.09015607107
39.0	57062.17686845665
40.0	61511.14448254717
41.0	71764.84747978246
42.0	74802.33673638685
43.0	78826.73853624733
44.0	70847.2153418519
45.0	65585.94168577652
46.0	60950.02360499531
47.0	57028.98157489486
48.0	53748.05061767366
49.0	53588.044374540805
50.0	53342.105872656255
51.0	53145.49452588227
52.0	52971.0542908768
53.0	53137.8085973948
54.0	53975.04646126585
55.0	53107.61164117074
56.0	53713.91406263541
57.0	55692.71400678091
58.0	56758.495234321534
59.0	56767.31270636447
60.0	58360.380475913116
61.0	61873.58715621121
62.0	63011.52929075743
63.0	63065.03618475912
64.0	63234.65293890748
65.0	61704.06898253008
66.0	58408.59042963639
67.0	57396.23543894205
68.0	58197.74391775694
69.0	59297.63647482257
70.0	58251.695421738856
71.0	55171.921248869454
72.0	52634.30574607292
73.0	51482.47883874776
74.0	52290.35565158788
75.0	52608.09446372616
76.0	55380.40619411734
77.0	54878.30917823918
78.0	53440.5477946512
79.0	51034.10985793571
80.0	50662.37821321972
81.0	53097.65503255471
82.0	52052.6473168192
83.0	52100.40238843339
84.0	49106.29103672383
85.0	49173.83045767474
86.0	48083.01582268128
87.0	46749.86166411135
88.0	46462.43376046312
89.0	45500.87043603151
90.0	45676.751158889434
91.0	43738.743467419496
92.0	47799.57699924738
93.0	49593.78395998266
94.0	43796.572658836776
95.0	37958.17438426783
96.0	21762.611684247793
97.0	15494.412283209804
98.0	9510.83319083418
99.0	2949.3532595993343
