Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR7179504 - illumina_universal_adapter	(1, 3.6904639592242115e-05)	(2, 5.166649542913896e-05)	(3, 8.857113502138107e-05)	(4, 0.0001328567025320716)	(5, 0.00014761855836896846)	(6, 0.00023618969339034952)	(7, 0.00023618969339034952)	(8, 0.0002952371167379369)	(9, 0.00033214175633017903)	(10, 0.0003985701075962148)	(11, 0.00046499845886225065)	(12, 0.00047237938678069903)	(13, 0.0004945221705360443)	(14, 0.0005166649542913896)	(15, 0.0005461886659651833)	(16, 0.0005830933055574254)	(17, 0.0006052360893127707)	(18, 0.0006495216568234612)	(19, 0.0006790453684972549)	(20, 0.0007307118639263938)	(21, 0.0007823783593555328)	(22, 0.0008635685664584654)	(23, 0.0009299969177245013)	(24, 0.001099758259848815)	(25, 0.0012990433136469224)	(26, 0.0016607087816508952)	(27, 0.0022290402313714236)	(28, 0.0029302283836240236)	(29, 0.004155462418086462)	(30, 0.005926885118514084)	(31, 0.00856187638540017)	(32, 0.011787341885762132)	(33, 0.015669709970866003)	(34, 0.019958029091484534)	(35, 0.0255011059582393)	(36, 0.031435372004671835)	(37, 0.03872034786018042)	(38, 0.04726008146182525)	(39, 0.057652427971000626)	(40, 0.06983833996435898)	(41, 0.08430495868451789)	(42, 0.1010744269152327)	(43, 0.1184343693794234)	(44, 0.13761740103947084)	(45, 0.15733185950964657)	(46, 0.17940083398580736)	(47, 0.203492182711623)	(48, 0.23182018406262805)	(49, 0.26256174884296574)	(50, 0.2982042497611532)	(51, 0.3378472136111397)	(52, 0.38154230688835433)	(53, 0.4286400079359737)	(54, 0.479686505419963)	(55, 0.5347334658357513)	(56, 0.5905037571875477)	(57, 0.6493592764092553)	(58, 0.7129828750662808)	(59, 0.7833600227686864)	(60, 0.8608745277682318)	(61, 0.9478587632871465)	(62, 1.0420910700219774)	(63, 1.1453059660335603)	(64, 1.2592896358781591)	(65, 1.3774287681408446)
SRR7179504 - polya	(1, 0.002302849510555908)	(2, 0.002826895392765746)	(3, 0.003336179419138687)	(4, 0.004214509841434049)	(5, 0.005085459335810963)	(6, 0.0059564088301878775)	(7, 0.0072775949275901445)	(8, 0.009683777429004331)	(9, 0.013809716135416998)	(10, 0.01890255639914641)	(11, 0.021168501270110076)	(12, 0.023781349753240817)	(13, 0.02624657967800259)	(14, 0.02985585343012387)	(15, 0.03232108335488564)	(16, 0.03508155039638535)	(17, 0.0385801102297299)	(18, 0.040366294785994426)	(19, 0.04181295665801031)	(20, 0.04341461801631362)	(21, 0.04564365824768504)	(22, 0.04783579383946423)	(23, 0.0491569799368665)	(24, 0.05079554593476204)	(25, 0.05223482687885949)	(26, 0.054677914019865916)	(27, 0.057150524872546134)	(28, 0.05994789655363809)	(29, 0.06261979246011642)	(30, 0.06494478475442766)	(31, 0.06754287138172152)	(32, 0.07031071935113968)	(33, 0.07248809308708196)	(34, 0.07492379930016994)	(35, 0.07711593489194912)	(36, 0.0793228323395652)	(37, 0.08156663442677352)	(38, 0.08334543805511958)	(39, 0.08527186024183463)	(40, 0.08759685253614588)	(41, 0.09021708194719508)	(42, 0.09319897682624824)	(43, 0.09607753871444312)	(44, 0.09793015162197367)	(45, 0.0996720506107275)	(46, 0.10153942537409495)	(47, 0.10416703571306259)	(48, 0.10649940893529229)	(49, 0.1085734496803763)	(50, 0.11107558424473031)	(51, 0.11303153014311915)	(52, 0.11470700078060693)	(53, 0.11664080389524042)	(54, 0.11875174927991668)	(55, 0.12088483744834827)	(56, 0.123069592112209)	(57, 0.12769743391707616)	(58, 0.13006671177889811)	(59, 0.131941467470184)	(60, 0.133587414395998)	(61, 0.13607478710451512)	(62, 0.1402154876667647)	(63, 0.1434778578067189)	(64, 0.1599742317044511)	(65, 0.16514826217528344)
SRR7179504 - polyg	(1, 0.015308044502862028)	(2, 0.2513058337673319)	(3, 0.2518741652170524)	(4, 0.2521324976941981)	(5, 0.25349796935911106)	(6, 0.2578970023985063)	(7, 0.2579855735335277)	(8, 0.2580815255964675)	(9, 0.25817747765940735)	(10, 0.25824390601067343)	(11, 0.25833985807361326)	(12, 0.25846533384822684)	(13, 0.2585465240553298)	(14, 0.25863509519035116)	(15, 0.2586941426136988)	(16, 0.2587605709649648)	(17, 0.2588048565324755)	(18, 0.2588343802441493)	(19, 0.2588934276674969)	(20, 0.25901152251419207)	(21, 0.2591739029283979)	(22, 0.2592550931355008)	(23, 0.25930675963093)	(24, 0.2594027116938698)	(25, 0.2594617591172174)	(26, 0.2595060446847281)	(27, 0.2595503302522388)	(28, 0.25963890138726015)	(29, 0.25977175808979225)	(30, 0.26001532871110106)	(31, 0.26016294726947)	(32, 0.26031056582783896)	(33, 0.2604655653141264)	(34, 0.2606058029445769)	(35, 0.2607165168633536)	(36, 0.26078294521461964)	(37, 0.2609084209892333)	(38, 0.26095270655674396)	(39, 0.26107080140343913)	(40, 0.26120365810597124)	(41, 0.26138080037601397)	(42, 0.26149151429479073)	(43, 0.2619343699698976)	(44, 0.26227389265414625)	(45, 0.2625248442033735)	(46, 0.26277579575260074)	(47, 0.2629972235901542)	(48, 0.26323341328354455)	(49, 0.2643257906154749)	(50, 0.2650712643352382)	(51, 0.26544031073116064)	(52, 0.2679941117909438)	(53, 0.26854768138482743)	(54, 0.26876172829446243)	(55, 0.26893148963658675)	(56, 0.2691381556183033)	(57, 0.2693448216000198)	(58, 0.26958839222132863)	(59, 0.269824581914719)	(60, 0.2700533906801909)	(61, 0.2703486277969288)	(62, 0.2706217221299114)	(63, 0.27086529275122023)	(64, 0.2712269582192242)	(65, 0.2716624329664126)
SRR7179505 - illumina_universal_adapter	(1, 3.754077867083119e-05)	(2, 6.0065245873329904e-05)	(3, 9.009786880999486e-05)	(4, 0.00014265495894915853)	(5, 0.00015016311468332477)	(6, 0.00021773651629082092)	(7, 0.00023275282775915337)	(8, 0.0002702936064299846)	(9, 0.00030783438510081576)	(10, 0.00033035885230331446)	(11, 0.0003528833195058132)	(12, 0.0003678996309741457)	(13, 0.0003904240981766444)	(14, 0.0003979322539108106)	(15, 0.00042796487684747557)	(16, 0.00045048934404997426)	(17, 0.00048052196698663923)	(18, 0.0005030464341891379)	(19, 0.0005180627456574705)	(20, 0.0005706198357966341)	(21, 0.0006682258603407952)	(22, 0.0007433074176824575)	(23, 0.0008709460651632837)	(24, 0.0009610439339732785)	(25, 0.0012013049174665982)	(26, 0.0015166474583015802)	(27, 0.0020422183596932168)	(28, 0.002702936064299846)	(29, 0.0036714881540072905)	(30, 0.005405872128599692)	(31, 0.007568220980039568)	(32, 0.010826760568667715)	(33, 0.015354178476369957)	(34, 0.01995667794141386)	(35, 0.025580286586304374)	(36, 0.03174448244405485)	(37, 0.03887723039151278)	(38, 0.04742151161699396)	(39, 0.05736230980903006)	(40, 0.06930027742635438)	(41, 0.08329547971484025)	(42, 0.0999410609774868)	(43, 0.11801319182962493)	(44, 0.13808249210705129)	(45, 0.15919542603152675)	(46, 0.1817349095454938)	(47, 0.20669952736159652)	(48, 0.2350803560367449)	(49, 0.26646444700555977)	(50, 0.3026612657999752)	(51, 0.34273229295322044)	(52, 0.38705293625200377)	(53, 0.43612624213051426)	(54, 0.4872793071473889)	(55, 0.5414731752366008)	(56, 0.5977918513985817)	(57, 0.6564680884610908)	(58, 0.7195816455624923)	(59, 0.7909466658157424)	(60, 0.869384368770577)	(61, 0.9557056352462863)	(62, 1.0514271127011716)	(63, 1.1558730671191582)	(64, 1.2674292450174)	(65, 1.3852021758635318)
SRR7179505 - polya	(1, 0.0019671368023515545)	(2, 0.002485199548009025)	(3, 0.00297322967072983)	(4, 0.003949289916171442)	(5, 0.004700105489588065)	(6, 0.005571051554751349)	(7, 0.006937535898369604)	(8, 0.00964047196266945)	(9, 0.013762449460726715)	(10, 0.018334916302833952)	(11, 0.02019693892490718)	(12, 0.022682138472916204)	(13, 0.02522740326679856)	(14, 0.028696171215983363)	(15, 0.030730881419942412)	(16, 0.033516407197318084)	(17, 0.03705274854811039)	(18, 0.038614444940816964)	(19, 0.04021368211219437)	(20, 0.042023147644128435)	(21, 0.04427559436437831)	(22, 0.04643043506008401)	(23, 0.0479921314527906)	(24, 0.04976405620605383)	(25, 0.051243162885684576)	(26, 0.053435544360061114)	(27, 0.05574805632618432)	(28, 0.05873630230838248)	(29, 0.061003765340100685)	(30, 0.06359407906838804)	(31, 0.06618439279667539)	(32, 0.06913509800020272)	(33, 0.07140256103192093)	(34, 0.0741880868092966)	(35, 0.07662823742290062)	(36, 0.07916599406104881)	(37, 0.08140342446983036)	(38, 0.08326544709190357)	(39, 0.08534520623026763)	(40, 0.08733486749982168)	(41, 0.08992518122810904)	(42, 0.09287588643163637)	(43, 0.09567642852048037)	(44, 0.09735074724919944)	(45, 0.09911516384672851)	(46, 0.1010747924933459)	(47, 0.10368012253310158)	(48, 0.10630797704005976)	(49, 0.10862799716191714)	(50, 0.11109067224272366)	(51, 0.11302777642213854)	(52, 0.11453691572470596)	(53, 0.11609110396167838)	(54, 0.11831351805899158)	(55, 0.12034072010721647)	(56, 0.12261569129466883)	(57, 0.12742091096453523)	(58, 0.1296958821519876)	(59, 0.13109990727427667)	(60, 0.13266911182271743)	(61, 0.13535703157554893)	(62, 0.13951654985227704)	(63, 0.14265495894915853)	(64, 0.15782894168790848)	(65, 0.16143285644030828)
SRR7179505 - polyg	(1, 0.01720118478697485)	(2, 0.2001223829384669)	(3, 0.20045274179077022)	(4, 0.2005052988809094)	(5, 0.2005503478153144)	(6, 0.20112847580684518)	(7, 0.2011960492084527)	(8, 0.20128614707726267)	(9, 0.20134621232313601)	(10, 0.20147385097061682)	(11, 0.2015489325279585)	(12, 0.2016315222410343)	(13, 0.20169158748690766)	(14, 0.20172162010984432)	(15, 0.20175165273278098)	(16, 0.20177417719998347)	(17, 0.2018192261343885)	(18, 0.2018792913802618)	(19, 0.20189430769173014)	(20, 0.20196188109333763)	(21, 0.2020820115850843)	(22, 0.20212706051948928)	(23, 0.20217961760962846)	(24, 0.20222466654403345)	(25, 0.20229223994564094)	(26, 0.20232227256857763)	(27, 0.20236732150298262)	(28, 0.20241987859312177)	(29, 0.20247243568326095)	(30, 0.20255502539633677)	(31, 0.2027277129782226)	(32, 0.20280279453556427)	(33, 0.2028628597814376)	(34, 0.20300551474038675)	(35, 0.20306557998626007)	(36, 0.2031481696993359)	(37, 0.2032833165025509)	(38, 0.20341846330576588)	(39, 0.2034860367073734)	(40, 0.20358364273191754)	(41, 0.20367374060072754)	(42, 0.20380137924820838)	(43, 0.20395905051862587)	(44, 0.20422934412505583)	(45, 0.20442455617414415)	(46, 0.2046197682232325)	(47, 0.20476993133791582)	(48, 0.20498766785420663)	(49, 0.2052129125262316)	(50, 0.20543064904252245)	(51, 0.20564838555881326)	(52, 0.20611389121433157)	(53, 0.20630159510768573)	(54, 0.2064217255994324)	(55, 0.20659441318131821)	(56, 0.20689473941068487)	(57, 0.20713500039417818)	(58, 0.20740529400060817)	(59, 0.20767558760703814)	(60, 0.20790083227906314)	(61, 0.20810355248388562)	(62, 0.20831378084444227)	(63, 0.20851650104926475)	(64, 0.2088168272786314)	(65, 0.20905708826212474)
SRR7179506 - illumina_universal_adapter	(1, 2.134629062661609e-05)	(2, 2.134629062661609e-05)	(3, 3.5577151044360154e-05)	(4, 0.00014230860417744061)	(5, 0.00014942403438631264)	(6, 0.00024192462710164903)	(7, 0.0002561554875193931)	(8, 0.00031307892919036934)	(9, 0.00040557952190570576)	(10, 0.0005123109750387862)	(11, 0.0005763498469186345)	(12, 0.0005976961375452506)	(13, 0.0006261578583807387)	(14, 0.0006403887187984827)	(15, 0.0006617350094250988)	(16, 0.000711543020887203)	(17, 0.0007613510323493073)	(18, 0.0007826973229759234)	(19, 0.0008253899042291556)	(20, 0.0008680824854823877)	(21, 0.00094635221777998)	(22, 0.0010744299615396767)	(23, 0.0012523157167614774)	(24, 0.0013590471698945578)	(25, 0.0015511637855341028)	(26, 0.0018215501334712398)	(27, 0.0022840530970479216)	(28, 0.003066750420023845)	(29, 0.004340412427411938)	(30, 0.006090808258794459)	(31, 0.008204091030829452)	(32, 0.01156257408941705)	(33, 0.016180488294975)	(34, 0.020698786477608738)	(35, 0.026156321447813585)	(36, 0.032496169763918566)	(37, 0.04035160471451329)	(38, 0.04861261918701371)	(39, 0.059136340465935446)	(40, 0.07150295816895504)	(41, 0.08605401294609834)	(42, 0.10301008313384039)	(43, 0.12095519812061566)	(44, 0.1408072484033686)	(45, 0.16106487820802728)	(46, 0.18349271422639193)	(47, 0.20757133005321488)	(48, 0.2355990096459618)	(49, 0.26693536428583425)	(50, 0.3030105954448154)	(51, 0.34331239214786663)	(52, 0.38842421967211527)	(53, 0.4371649166028887)	(54, 0.4894348669172626)	(55, 0.5440884863516087)	(56, 0.6011826983475979)	(57, 0.6597640352572413)	(58, 0.7243792569840082)	(59, 0.7954766356310575)	(60, 0.8731059792098514)	(61, 0.9612376977769403)	(62, 1.0563283070883063)	(63, 1.159879162918021)	(64, 1.272459499682794)	(65, 1.3914223773449257)
SRR7179506 - polya	(1, 0.0024192462710164904)	(2, 0.0029386726762641487)	(3, 0.0033157904773343664)	(4, 0.0042692581253232186)	(5, 0.00508041716913463)	(6, 0.005941384224408146)	(7, 0.007207930801587367)	(8, 0.009755254816363555)	(9, 0.013675856861452044)	(10, 0.01811588531178819)	(11, 0.020350130397374006)	(12, 0.02298283957465666)	(13, 0.02523131552066022)	(14, 0.028789030625096235)	(15, 0.030966352269011076)	(16, 0.03357059972545824)	(17, 0.037050045097596664)	(18, 0.03871505576647272)	(19, 0.040180834389500354)	(20, 0.04197392280213611)	(21, 0.04384528094706945)	(22, 0.045887409417015725)	(23, 0.04745991949317645)	(24, 0.04926723876622994)	(25, 0.05084686427259953)	(26, 0.05324476425298941)	(27, 0.05572804939588574)	(28, 0.058688068362776506)	(29, 0.06103616033170428)	(30, 0.06330598256833446)	(31, 0.06615927008209214)	(32, 0.06869236323645059)	(33, 0.07107603235642271)	(34, 0.07353085577848356)	(35, 0.07575798543386052)	(36, 0.07803492310069957)	(37, 0.08021936017482327)	(38, 0.08191283256453481)	(39, 0.08367745925633509)	(40, 0.08579074202837007)	(41, 0.08839498948481724)	(42, 0.09129096957982816)	(43, 0.09388098617585758)	(44, 0.0955531122749425)	(45, 0.09721100751360968)	(46, 0.09919621254188497)	(47, 0.10169372854519906)	(48, 0.10393508906099375)	(49, 0.10615510328616183)	(50, 0.10867396558010252)	(51, 0.11082282550318188)	(52, 0.11246648988143132)	(53, 0.11425957829406706)	(54, 0.11622343703171575)	(55, 0.11864268330273224)	(56, 0.12083423580706483)	(57, 0.12590753754599057)	(58, 0.12824851408470947)	(59, 0.12982813959107908)	(60, 0.13135795708598655)	(61, 0.1339195119611805)	(62, 0.1384235792833965)	(63, 0.14175360062114858)	(64, 0.15811909010155425)	(65, 0.16282950489982756)
SRR7179506 - polyg	(1, 0.01341970137393265)	(2, 0.24512657069564145)	(3, 0.24589503715819963)	(4, 0.2462365778082255)	(5, 0.2476383175593733)	(6, 0.2524981563920329)	(7, 0.25266181128683696)	(8, 0.2527471964493434)	(9, 0.252825466181641)	(10, 0.2529250822045652)	(11, 0.2530033519368628)	(12, 0.25313854511083134)	(13, 0.2532595074243822)	(14, 0.25336623887751525)	(15, 0.2534089314587685)	(16, 0.2534658549004395)	(17, 0.2534872011910661)	(18, 0.2535156629119016)	(19, 0.2535370092025282)	(20, 0.25362239436503464)	(21, 0.25382874184109194)	(22, 0.25387143442234517)	(23, 0.25389989614318065)	(24, 0.2539710504452694)	(25, 0.2540279738869404)	(26, 0.2540991281890291)	(27, 0.25415605163070004)	(28, 0.2542983602348775)	(29, 0.2544264379786372)	(30, 0.2545758620130235)	(31, 0.25479644034949855)	(32, 0.25488894094221387)	(33, 0.25502413411618247)	(34, 0.2551664427203599)	(35, 0.25521625073182197)	(36, 0.2553229821849551)	(37, 0.25542259820787927)	(38, 0.2555933685328922)	(39, 0.255714330846443)	(40, 0.2558779857412471)	(41, 0.2560345252058423)	(42, 0.2561554875193931)	(43, 0.256440104727748)	(44, 0.25675318365693833)	(45, 0.25699510828404)	(46, 0.25727972549239486)	(47, 0.2575074192590788)	(48, 0.2577279975955538)	(49, 0.2584537714768588)	(50, 0.25880954298730235)	(51, 0.2591012756258661)	(52, 0.26052436166764054)	(53, 0.26091571032912847)	(54, 0.2611434040958124)	(55, 0.2613639824322874)	(56, 0.26159167619897133)	(57, 0.2618051391052375)	(58, 0.2620328328719214)	(59, 0.2622676420688142)	(60, 0.2624882204052892)	(61, 0.2627372604625997)	(62, 0.26301476224074577)	(63, 0.2633563028907716)	(64, 0.2636409200991265)	(65, 0.263946883598108)
SRR7179507 - illumina_universal_adapter	(1, 0.00010669798750523887)	(2, 0.00012092438583927073)	(3, 0.0001778299791753981)	(4, 0.0001991695766764459)	(5, 0.00021339597501047775)	(6, 0.000284527966680637)	(7, 0.0002916411658476529)	(8, 0.0003414335600167644)	(9, 0.0003698863566848281)	(10, 0.0004267919500209555)	(11, 0.00044813154752200326)	(12, 0.00047658434419006697)	(13, 0.0005121503400251466)	(14, 0.0005192635391921625)	(15, 0.0005477163358602262)	(16, 0.0005619427341942581)	(17, 0.0006117351283633695)	(18, 0.0006330747258644173)	(19, 0.0006686407216994969)	(20, 0.0007539991117036881)	(21, 0.0008251311033738472)	(22, 0.0009389422900461021)	(23, 0.0010456402775513409)	(24, 0.0011879042608916594)	(25, 0.0013657342400670576)	(26, 0.0016573754059147105)	(27, 0.002176638945106873)	(28, 0.002823940069305322)	(29, 0.0038695803468566633)	(30, 0.005598087744441533)	(31, 0.007981009465391868)	(32, 0.011004119111373636)	(33, 0.014802567466560139)	(34, 0.019539958111792745)	(35, 0.024753933101215417)	(36, 0.030586756418168475)	(37, 0.037557691601844086)	(38, 0.046434964162279956)	(39, 0.05629385820776403)	(40, 0.06844320238502723)	(41, 0.08261269512572295)	(42, 0.09914376998986796)	(43, 0.11745314464576695)	(44, 0.13714959313923406)	(45, 0.15756447474856974)	(46, 0.17873335546960914)	(47, 0.2039140805208455)	(48, 0.2303111626296416)	(49, 0.26089791904781007)	(50, 0.2962291793103782)	(51, 0.3360346418489993)	(52, 0.37938247757279436)	(53, 0.42602372451091775)	(54, 0.4753608739333402)	(55, 0.528830792071799)	(56, 0.5841857079895169)	(57, 0.6412477917073186)	(58, 0.7033460204353676)	(59, 0.7731549570604619)	(60, 0.8515779778768124)	(61, 0.9370146130718408)	(62, 1.0310368796614573)	(63, 1.1321012134264195)	(64, 1.2423558005151663)	(65, 1.3584858901158683)
